US_State,Agency,Unit_ID,Unit_Region,Fire_Name,Inc_Num,Date_Reported,Containment_Date,Fire_Comments,GIS_ACRES
CA,CDF,LNU,Sonoma-Lake- Napa,BLUE LAKES,3390.0,2/29/2020,8/29/20,Rich Lawler,4.3660474
CA,CDF,LNU,Sonoma-Lake- Napa,SALMON,8659.0,9/10/2020,9/10/20,Josh Jones,5.4292068
CA,CDF,LNU,Sonoma-Lake- Napa,STONY,9198.0,6/18/2020,6/18/20,Brandon Mcgee,6.5855865
CA,CDF,LNU,Sonoma-Lake- Napa,DIGGER/QUAIL,10627.0,7/8/2020,7/8/20,Kole Oliver,5.7131143
CA,CDF,LNU,Sonoma-Lake- Napa,DUNNIGAN,10745.0,7/10/2020,7/10/20,Kole Oliver,1.8512373
CA,CDF,LNU,Sonoma-Lake- Napa,LAMB,10619.0,7/8/2020,7/8/20,Kole Oliver,1.710471
CA,CDF,LNU,Sonoma-Lake- Napa,ANNAPOLIS,2399.0,2/12/2020,2/12/20,Diane Mibach,2.159534
CA,CDF,LNU,Sonoma-Lake- Napa,GAMBLE,13354.0,4/2/2020,4/2/20,Jase Indrebro Part of LNU LIGHTNING COMPLEX,1.0706679
CA,CDF,LNU,Sonoma-Lake- Napa,FOX,11856.0,7/27/2020,7/27/20,Jase Indrebro,1.696867
CA,CDF,LNU,Sonoma-Lake- Napa,13-1,13249.0,8/16/2020,8/16/20,Brian Mickelson,1.2041897
CA,CDF,LNU,Sonoma-Lake- Napa,MILL,6651.0,5/5/2020,5/5/20,Dan Cavazos,1.6995125
CA,CDF,LNU,Sonoma-Lake- Napa,TAYLOR,13619.0,8/19/2020,8/19/20,Forest Martin,1.7314003
CA,CDF,LNU,Sonoma-Lake- Napa,NEWELL,9981.0,6/29/2020,6/29/20,Zach Cartee,2.5603883
CA,CDF,LNU,Sonoma-Lake- Napa,PLEASANTS,7817.0,5/27/2020,5/27/20,Jessie Campbell,8.7006702
CA,CDF,LNU,Sonoma-Lake- Napa,CEMENT,8139.0,6/2/2020,6/2/20,Gary Uboldi,3.5096185
CA,CDF,LNU,Sonoma-Lake- Napa,TWIN,19608.0,11/23/2020,11/23/20,Jason Freyer,1.0429176
CA,CDF,LNU,Sonoma-Lake- Napa,FOREST,5495.0,7/21/2012,7/29/12, ,601.84729
CA,CDF,LNU,Sonoma-Lake- Napa,SITES_COMPLEX,5038.0,7/8/2012,7/19/12, ,4429.4009
CA,CDF,LNU,Sonoma-Lake- Napa,SIXTEEN_COMPLEX,7072.0,9/4/2012,9/15/12, ,17942.148
CA,CDF,LNU,Sonoma-Lake- Napa,SODA,1216.0,2/23/2012,2/26/12, ,196.72179
CA,CDF,LNU,Sonoma-Lake- Napa,STONY,7930.0,10/1/2012,10/2/12, ,5.7285552
